# Throttle response of vehicle.tesla.model3 on CARLA 0.9.16, measured by scripts/probe_longitudinal.py
# Rows: pedal position. Columns: vehicle speed in m/s.
# Cells: measured longitudinal acceleration in m/s^2.
default,0.0,2.0,4.0,6.0,8.0,11.0,14.0,17.0,20.0,24.0
0.00,-0.282,-0.550,-1.506,-2.724,-3.381,-4.495,-5.667,-6.773,-7.887,-8.880
0.10,-0.168,-0.325,-0.765,-1.993,-2.574,-3.411,-4.581,-5.659,-6.652,-7.705
0.20,0.060,0.060,0.010,-1.327,-1.720,-2.458,-3.454,-4.450,-5.432,-6.527
0.30,1.692,1.211,0.546,0.307,-0.787,-1.479,-2.331,-3.239,-4.126,-5.253
0.40,2.397,1.827,1.250,0.592,0.169,-0.649,-1.147,-1.976,-2.788,-3.827
0.50,2.624,2.591,2.242,1.375,1.150,0.543,0.119,-0.841,-1.381,-2.320
0.60,3.338,3.468,3.181,2.155,2.426,1.767,1.180,0.535,0.242,-0.729
0.70,4.613,4.636,4.113,3.262,3.267,3.012,2.460,1.969,1.474,0.811
0.80,4.916,5.516,5.080,4.411,4.459,4.444,3.764,3.381,3.003,2.505
0.90,6.042,6.371,6.086,5.328,6.047,5.737,5.085,4.828,4.579,4.233
1.00,6.032,7.258,7.103,6.674,7.587,6.872,6.435,6.296,6.170,6.001
